speech_party,month,month_start,speech_label_type,mpds_party_id,mpds_partyname,mpds_partyabbrev,manifesto_countryname,manifesto_partyname,manifesto_partyabbrev,manifesto_date,edate,manifesto_month_start,manifesto_effective_date,doc_key,selection_method,speech_rows,speech_dates,speech_start_date,speech_end_date
ANO2011,2013-11,2013-11-01,party,82430,ANO 2011,ANO,Czech Republic,ANO 2011,ANO,201310,26/10/2013,2013-10-01,2013-10-26,82430_201310,latest_manifesto_on_or_before_speech_date,124,2,2013-11-25,2013-11-27
CSSD,2013-11,2013-11-01,party,82320,Czech Social Democratic Party,ČSSD,Czech Republic,Czech Social Democratic Party,ČSSD,201310,26/10/2013,2013-10-01,2013-10-26,82320_201310,latest_manifesto_on_or_before_speech_date,256,2,2013-11-25,2013-11-27
KDU-ČSL,2013-11,2013-11-01,party,82523,Christian and Democratic Union - Czech People's Party,KDU-ČSL,Czech Republic,Christian and Democratic Union - Czech People's Party,KDU-ČSL,201310,26/10/2013,2013-10-01,2013-10-26,82523_201310,latest_manifesto_on_or_before_speech_date,14,1,2013-11-27,2013-11-27
KSCM,2013-11,2013-11-01,party,82220,Communist Party of Bohemia and Moravia,KSČM,Czech Republic,Communist Party of Bohemia and Moravia,KSČM,201310,26/10/2013,2013-10-01,2013-10-26,82220_201310,latest_manifesto_on_or_before_speech_date,51,1,2013-11-27,2013-11-27
ODS,2013-11,2013-11-01,party,82413,Civic Democratic Party,ODS,Czech Republic,Civic Democratic Party,ODS,201310,26/10/2013,2013-10-01,2013-10-26,82413_201310,latest_manifesto_on_or_before_speech_date,84,1,2013-11-27,2013-11-27
TOP09,2013-11,2013-11-01,party,82530,"Tradition, Responsibility, Prosperity 09",TOP09,Czech Republic,"Tradition, Responsibility, Prosperity 09",TOP09,201310,26/10/2013,2013-10-01,2013-10-26,82530_201310,latest_manifesto_on_or_before_speech_date,59,1,2013-11-27,2013-11-27
Usvit,2013-11,2013-11-01,party,82720,Tomio Okamura's Dawn of Direct Democracy,Úsvit,Czech Republic,Tomio Okamura's Dawn of Direct Democracy,Úsvit,201310,26/10/2013,2013-10-01,2013-10-26,82720_201310,latest_manifesto_on_or_before_speech_date,24,1,2013-11-27,2013-11-27
ANO2011,2013-12,2013-12-01,party,82430,ANO 2011,ANO,Czech Republic,ANO 2011,ANO,201310,26/10/2013,2013-10-01,2013-10-26,82430_201310,latest_manifesto_on_or_before_speech_date,261,6,2013-12-04,2013-12-19
CSSD,2013-12,2013-12-01,party,82320,Czech Social Democratic Party,ČSSD,Czech Republic,Czech Social Democratic Party,ČSSD,201310,26/10/2013,2013-10-01,2013-10-26,82320_201310,latest_manifesto_on_or_before_speech_date,243,6,2013-12-04,2013-12-19
KDU-ČSL,2013-12,2013-12-01,party,82523,Christian and Democratic Union - Czech People's Party,KDU-ČSL,Czech Republic,Christian and Democratic Union - Czech People's Party,KDU-ČSL,201310,26/10/2013,2013-10-01,2013-10-26,82523_201310,latest_manifesto_on_or_before_speech_date,38,5,2013-12-06,2013-12-19
