speech_party,speech_party_norm,speech_party_canonical,speech_label_type,n_rows,mapping_status,match_method,mpds_party_id,mpds_partyname,mpds_partyabbrev,mapping_note
N-VA,N-VA,N-VA,party,104683,mapped,manual_alias,21916,New Flemish Alliance,N-VA,
MR,MR,MR,party,92113,mapped,manual_alias,21426,Liberal Reformist Party,MR,
PS,PS,PS,party,65407,mapped,manual_alias,21322,Francophone Socialist Party,PS,
sp.a,SP.A,SP.A,party,59583,mapped,manual_alias,21321,Flemish Socialist Party,sp.a,
Open Vld,OPEN VLD,OPEN VLD,party,55983,mapped,manual_alias,21421,Flemish Liberals and Democrats,Open VLD,
Ecolo,ECOLO,ECOLO,party,54930,mapped,manual_alias,21111,Ecolo,Ecolo,
CD&V,CD&V,CD&V,party,46684,mapped,manual_alias,21521,Christian Democratic and Flemish,CD&V,
VB,VB,VB,party,32604,mapped,manual_alias,21917,Flemish Interest,VB,
Groen,GROEN,GROEN,party,27933,mapped,manual_alias,21112,Green,Groen,
cdH,CDH,CDH,party,26785,mapped,manual_alias,21522,Humanist Democratic Centre,cdH,
PTB,PTB,PTB,party,25235,mapped,manual_alias,21230,Workers' Party of Belgium,PTB/PVDA,
PVDA-PTB,PVDA-PTB,PVDA-PTB,party,9377,mapped,manual_alias,21230,Workers' Party of Belgium,PTB/PVDA,
DéFi,DEFI,DEFI,party,10129,mapped,manual_alias,21912,DéFI,DéFI,
FDF,FDF,FDF,party,2978,mapped,manual_alias,21912,DéFI,DéFI,
PP,PP,PP,party,826,mapped,manual_alias,21710,People's Party,PP,
LDD,LDD,LDD,party,86,mapped,manual_alias,21430,List Dedecker,LDD,
