speech_party,speech_party_norm,speech_party_canonical,speech_label_type,n_rows,mapping_status,match_method,mpds_party_id,mpds_partyname,mpds_partyabbrev,mapping_note
PSOE,PSOE,PSOE,party,29111,mapped,manual_alias,33320,Spanish Socialist Workers' Party,PSOE,
PP,PP,PP,party,29016,mapped,manual_alias,33610,People's Party,PP,
Cs,CS,CS,party,12343,mapped,manual_alias,33420,Citizens,Cs,
UP,UP,UP,party,10279,mapped,manual_alias,33020,Popular Unity,UP,
EAJ-PNV,EAJ-PNV,EAJ-PNV,party,9661,mapped,manual_alias,33902,Basque Nationalist Party,EAJ-PNV,
Vox,VOX,VOX,party,8686,mapped,manual_alias,33710,Voice,Vox,
ERC-S,ERC-S,ERC-S,party,5915,mapped,manual_alias,33905,Catalan Republican Left,ERC,
JxCat-Junts,JXCAT-JUNTS,JXCAT-JUNTS,party,4672,mapped,manual_alias,33912,Together for Catalonia,JxCat,
EH Bildu,EH BILDU,EH BILDU,party,3681,mapped,manual_alias,33095,Basque Country Unite,EH Bildu,
BNG,BNG,BNG,party,2271,mapped,manual_alias,33908,Galician Nationalist Bloc,BNG,
CiU,CIU,CIU,party,2081,mapped,manual_alias,33611,Convergence and Union,CiU,
ERC-CATSÍ,ERC-CATSI,ERC-CATSI,party,1854,mapped,manual_alias,33905,Catalan Republican Left,ERC,
CDC,CDC,CDC,party,1651,mapped,manual_alias,33911,Democratic Convergence of Catalonia,CDC,
UPyD,UPYD,UPYD,party,1344,mapped,manual_alias,33440,Union Progress and Democracy,UPyD,
CUP-PR,CUP-PR,CUP-PR,party,1273,mapped,manual_alias,33915,Popular Unity Candidacy,CUP,
Más País-Equo,MAS PAIS-EQUO,MAS PAIS-EQUO,party,1065,mapped,manual_alias,33230,More Country - Equo,MP-E,
PRC,PRC,PRC,party,839,mapped,manual_alias,33913,Regionalist Party of Cantabria,PRC,
TE,TE,TE,party,608,mapped,manual_alias,33916,Teruel Exists,TE,
Amaiur,AMAIUR,AMAIUR,party,428,mapped,manual_alias,33092,Amaiur,Amaiur,
Compromís-Q,COMPROMIS-Q,COMPROMIS-Q,party,306,mapped,manual_alias,33093,Commitment-Q,Compromís-Q,
UPN,UPN,UPN,party,154,mapped,manual_alias,33910,Navarrese People's Union,UPN,
DL,DL,DL,party,21,mapped,manual_alias,33099,Democracy and Freedom,DL,
