speech_party,speech_party_norm,speech_party_canonical,speech_label_type,n_rows,mapping_status,match_method,mpds_party_id,mpds_partyname,mpds_partyabbrev,mapping_note
VVD,VVD,VVD,party,133505,mapped,manual_alias,22420,People's Party for Freedom and Democracy,VVD,
D66,D66,D66,party,83500,mapped,manual_alias,22330,Democrats'66,D66,
CDA,CDA,CDA,party,81411,mapped,manual_alias,22521,Christian Democratic Appeal,CDA,
PvdA,PVDA,PVDA,party,75467,mapped,manual_alias,22320,Labour Party,PvdA,
SP,SP,SP,party,61158,mapped,manual_alias,22220,Socialist Party,SP,
GL,GL,GL,party,46570,mapped,manual_alias,22110,Green Left,GL,
PVV,PVV,PVV,party,44922,mapped,manual_alias,22722,Party of Freedom,PVV,
CU,CU,CU,party,36195,mapped,manual_alias,22526,Christian Union,CU,
SGP,SGP,SGP,party,19959,mapped,manual_alias,22952,Reformed Political Party,SGP,
PvdD,PVDD,PVDD,party,18714,mapped,manual_alias,22951,Party for the Animals,PvdD,
DENK,DENK,DENK,party,14477,mapped,manual_alias,22321,DENK,DENK,
50PLUS,50PLUS,50PLUS,party,12488,mapped,manual_alias,22953,50Plus,50PLUS,
FvD,FVD,FVD,party,9286,mapped,manual_alias,22730,Forum for Democracy,FvD,
BBB,BBB,BBB,party,2792,mapped,manual_alias,22820,Farmer-Citizen Movement,BBB,
JA21,JA21,JA21,party,1460,mapped,manual_alias,22731,Right Answer 21,JA21,
VOLT,VOLT,VOLT,party,1265,mapped,manual_alias,22235,Volt Netherlands,Volt,
