,doc_key,manifesto_id,metadata_item,text_item
party_id,98952_201210,98952_201210,98952,
election_date,98952_201210,98952_201210,201210,
language,98952_201210,98952_201210,ukrainian,
source,98952_201210,98952_201210,MARPOR,
has_eu_code,98952_201210,98952_201210,False,
is_primary_doc,98952_201210,98952_201210,True,
may_contradict_core_dataset,98952_201210,98952_201210,False,
manifesto_id,98952_201210,98952_201210,98952_201210,
md5sum_text,98952_201210,98952_201210,f5541e1a94563a44fb6b061810e35eed,
url_original,98952_201210,98952_201210,/down/originals/2020-1/98952_2012.pdf,
md5sum_original,98952_201210,98952_201210,5187c694f262b07526f74020923a597f,
annotations,98952_201210,98952_201210,True,
handbook,98952_201210,98952_201210,5,
is_copy_of,98952_201210,98952_201210,,
title,98952_201210,98952_201210,ПЕРЕДВИБОРНА ПРОГРАМА,
translation_en,98952_201210,98952_201210,True,
key,98952_201210,98952_201210,,98952_201210
kind,98952_201210,98952_201210,,
