,key,kind,items
0,98952_201210,,"{'text': 'У непростий для світу та України час Партія регіонів узяла на себе відповідальність за долю держави.', 'cmp_code': '305.1', 'eu_code': 'NA'}"
1,98952_201210,,"{'text': 'П’ять років «помаранчевого» правління довели Україну до межі економічної та соціальної катастрофи.', 'cmp_code': '305.1', 'eu_code': 'NA'}"
2,98952_201210,,"{'text': 'Від попередньої влади ми отримали у спадок: 15% падіння ВВП, 22% інфляції, знецінену вдвічі гривню, збільшений у 4 рази зовнішній та внутрішній державний борг, скорочені до критичного рівня валютні резерви Нацбанку.', 'cmp_code': '305.1', 'eu_code': 'NA'}"
3,98952_201210,,"{'text': 'Кабальний газовий договір спричинив підвищення комунальних тарифів та падіння рентабельності промисловості.', 'cmp_code': '305.1', 'eu_code': 'NA'}"
4,98952_201210,,"{'text': 'Ми змогли подолати хаос та руїну, стабілізувати ситуацію і створити фундамент для реформ.', 'cmp_code': '305.1', 'eu_code': 'NA'}"
5,98952_201210,,"{'text': 'Партія регіонів пропонує виважену й реалістичну програму формування суспільства вільних та заможних громадян.', 'cmp_code': '305.1', 'eu_code': 'NA'}"
6,98952_201210,,"{'text': 'Шлях ВІД СТАБІЛЬНОСТІ – ДО ДОБРОБУТУ – це шлях національного прогресу заради нової якості життя громадян України!', 'cmp_code': '606.1', 'eu_code': 'NA'}"
7,98952_201210,,"{'text': 'УКРАЇНА – БАГАТОМІЛЬЙОННА ЄВРОПЕЙСЬКА КРАЇНА УСПІШНИХ ЛЮДЕЙ', 'cmp_code': 'H', 'eu_code': 'NA'}"
8,98952_201210,,"{'text': 'Ми все робимо заради великої мети – добробуту всіх українців.', 'cmp_code': '305.1', 'eu_code': 'NA'}"
9,98952_201210,,"{'text': 'Створення належних умов для гідного життя громадян нашої країни – головне завдання Партії регіонів.', 'cmp_code': '305.1', 'eu_code': 'NA'}"
10,98952_201210,,"{'text': 'МІЦНА СІМ’Я – ОСНОВА ЗДОРОВОГО СУСПІЛЬСТВА', 'cmp_code': 'H', 'eu_code': 'NA'}"
11,98952_201210,,"{'text': 'Держава повинна дати можливість молоді «стати на ноги» у своїй країні.', 'cmp_code': '706', 'eu_code': 'NA'}"
12,98952_201210,,"{'text': 'Молоді сім’ї отримають доступне житло завдяки державній іпотеці під 3% річних,', 'cmp_code': '504', 'eu_code': 'NA'}"
13,98952_201210,,"{'text': 'за рахунок соціальних контрактів із роботодавцями.', 'cmp_code': '405', 'eu_code': 'NA'}"
14,98952_201210,,"{'text': 'Допомога при народженні першої дитини в 2012 році складе 28 830 грн, другої – 57 660 грн, третьої – 115 320 грн.', 'cmp_code': '504', 'eu_code': 'NA'}"
15,98952_201210,,"{'text': 'Це у два рази більше, ніж у 2008 році.', 'cmp_code': '504', 'eu_code': 'NA'}"
16,98952_201210,,"{'text': 'До 2017 року розмір цих виплат зросте ще вдвічі.', 'cmp_code': '504', 'eu_code': 'NA'}"
17,98952_201210,,"{'text': 'У кожній області відкриється перинатальний центр, будуть переоснащені пологові будинки.', 'cmp_code': '504', 'eu_code': 'NA'}"
18,98952_201210,,"{'text': 'ОСВІТА – ІНВЕСТИЦІЇ В МАЙБУТНЄ', 'cmp_code': 'H', 'eu_code': 'NA'}"
19,98952_201210,,"{'text': 'Якісна освіта сьогодні – це процвітання держави в майбутньому.', 'cmp_code': '506', 'eu_code': 'NA'}"
20,98952_201210,,"{'text': 'Покращення якості освіти включатиме: //- забезпечення держзамовленням щонайменше 75% місць у ВНЗ;', 'cmp_code': '506', 'eu_code': 'NA'}"
21,98952_201210,,"{'text': '- виплату стипендій на рівні мінімальної зарплати;', 'cmp_code': '506', 'eu_code': 'NA'}"
22,98952_201210,,"{'text': 'збільшення зарплати освітянам щонайменше на 20% щороку;', 'cmp_code': '701', 'eu_code': 'NA'}"
23,98952_201210,,"{'text': 'повну комп’ютеризацію та підключення всіх шкіл до Інтернету', 'cmp_code': '411', 'eu_code': 'NA'}"
24,98952_201210,,"{'text': 'ПРАЦЮВАТИ В УКРАЇНІ КОМФОРТНО І ПРЕСТИЖНО', 'cmp_code': 'H', 'eu_code': 'NA'}"
25,98952_201210,,"{'text': 'Кожен українець матиме гідну зарплату та можливості працевлаштування.', 'cmp_code': '701', 'eu_code': 'NA'}"
26,98952_201210,,"{'text': 'Будуть створені нові робочі місця за рахунок:- 100% компенсації роботодавцю єдиного соціального внеску при працевлаштуванні інвалідів, сиріт, одиноких матерів та людей, старших за 50 років;', 'cmp_code': '503', 'eu_code': 'NA'}"
27,98952_201210,,"{'text': '- навчання безробітних актуальним професіям;', 'cmp_code': '411', 'eu_code': 'NA'}"
28,98952_201210,,"{'text': '- забезпечення молодих спеціалістів першим робочим місцем', 'cmp_code': '701', 'eu_code': 'NA'}"
29,98952_201210,,"{'text': 'стажування студентів із подальшим працевлаштуванням.', 'cmp_code': '701', 'eu_code': 'NA'}"
30,98952_201210,,"{'text': 'Стабільно зростатимуть доходи громадян, середня зарплата у 2017 році сягне 8000 грн.', 'cmp_code': '701', 'eu_code': 'NA'}"
31,98952_201210,,"{'text': 'ЗДОРОВ’Я ЛЮДЕЙ – ОСНОВА ДОБРОБУТУ', 'cmp_code': 'H', 'eu_code': 'NA'}"
32,98952_201210,,"{'text': 'Забезпечимо якісну та доступну медичну допомогу.', 'cmp_code': '504', 'eu_code': 'NA'}"
33,98952_201210,,"{'text': 'Гарантуємо:- середню зарплату в системі охорони здоров’я не менше 8000 грн для лікарів та 5500 грн для медперсоналу;', 'cmp_code': '701', 'eu_code': 'NA'}"
34,98952_201210,,"{'text': '- зниження цін на ліки першої необхідності на 30%;', 'cmp_code': '412', 'eu_code': 'NA'}"
35,98952_201210,,"{'text': '- 100% забезпечення ліками хворих на онкологічні, серцево-судинні захворювання, туберкульоз, ВІЛ/СНІД;', 'cmp_code': '504', 'eu_code': 'NA'}"
