country,party,year,speech_count,word_count,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,dominant_topic
CZ,ANO2011,2013,385,19129,2.8800976276403397e-05,2.8801181324655165e-05,2.8801906379179085e-05,0.5209274862821475,2.880227559141246e-05,2.8800225478741562e-05,2.8802069284819425e-05,0.47884210154587603,2.880197117136806e-05,2.880156647000587e-05,topic_3
CZ,CSSD,2013,499,17397,3.192655477221377e-05,3.1927294731430106e-05,3.192727488228142e-05,0.2547804765131316,0.13215129850519092,0.05765921180936215,3.192729121854292e-05,0.5197673092029365,3.1926804592259746e-05,0.03548206874918199,topic_7
CZ,KDU-ČSL,2013,52,3505,0.0001792633296569288,0.00017926272581851883,0.0535159565028643,0.09243563523792665,0.00017926694822775223,0.00017926414009878356,0.17732912403702245,0.2846325029771048,0.00017925912663897432,0.3911904649746408,topic_9
CZ,KSCM,2013,234,16118,3.30455408130531e-05,0.030542795361129766,0.05393106375170956,0.027955773310571023,0.26226959862588267,0.22954006753234793,3.373620329080931e-05,0.1301726083431214,6.426931444764922e-05,0.26545704201668613,topic_9
CZ,ODS,2013,359,25685,2.0744168329733375e-05,0.358496770269459,2.0744278976052735e-05,0.013380074446594534,0.13546816686292837,2.1261855803393102e-05,0.005077975509495361,0.4115003066244097,2.0743539680434217e-05,0.07599321244432349,topic_7
CZ,TOP09,2013,334,25259,2.3084738671219163e-05,0.14903797407849,2.3085228225593707e-05,2.308541332423262e-05,2.3085437329699513e-05,2.3084957438920048e-05,2.3084800341066916e-05,0.21871876162870688,2.3084785657179652e-05,0.6320816689318153,topic_9
CZ,Usvit,2013,102,6098,9.069064910069439e-05,0.0926007574898129,9.068913795312006e-05,9.068692967697553e-05,0.1346642863070938,0.0722186075578693,0.10801259668491496,0.2693724758922878,0.08048650549055207,0.2423727038607383,topic_7
CZ,ANO2011,2014,4271,288708,1.7503410314630779e-06,0.0008853483339862322,1.7503347765092317e-06,0.4016956628735731,0.007025366955055618,0.06599863986595449,0.0011546725474586047,0.5197031898549399,1.7503308420390087e-06,0.003531868562382023,topic_7
CZ,CSSD,2014,4564,328181,0.0003579266206572204,0.03407668846639479,0.008716586772639232,0.04476487052868733,0.03247128900330563,0.16840667447739766,0.03318768289857651,0.6702977882439654,0.004256303306574869,0.0034641896818013193,topic_7
CZ,KDU-ČSL,2014,1493,104188,0.0007381793837030805,0.003753667648084588,4.8562143814389856e-06,0.003050326934013192,0.009119427016682878,0.5634322201259443,0.11230945062644467,0.27290307526056107,4.85622416770957e-06,0.03468394056601714,topic_5
CZ,KSCM,2014,2861,213503,0.001664031775659904,0.013466000128627847,0.006661527691493942,0.008710452057572374,0.20924193417824263,0.2590955019498313,0.07954178042543683,0.36242558184876367,0.010056748974859362,0.049136440969512106,topic_7
CZ,ODS,2014,5697,493640,0.0008135942099181935,0.5608336350397527,0.005737786876773478,0.005353548915859016,0.0016803961235070536,0.0028855329721237744,0.0006173193210591748,0.415082857204644,1.1122707090715538e-06,0.006994217065653495,topic_1
CZ,TOP09,2014,5039,386719,0.0008245088427386155,0.1116530446615374,0.0032492472681792334,0.0009209332056487501,0.014620549327812546,0.02685496472675244,0.044042563779601966,0.4393973157994936,1.4255982457145162e-06,0.3584354467899896,topic_7
CZ,Usvit,2014,2200,177138,0.006514287145772649,0.14523862275213742,0.00609190098505993,3.1177932510045115e-06,0.09361259420980536,2.6134206734063788e-05,0.07752652928060227,0.47455314545478583,0.14673528574411687,0.04969838242773474,topic_7
CZ,ANO2011,2015,4507,306911,0.0015483870620274667,0.020616878650582444,0.0007688391731219822,0.43007908923299837,0.0009499267317072599,0.1911452483254872,1.6421263116704911e-06,0.29438371403733415,1.6421213038974094e-06,0.06050463253912561,topic_3
CZ,CSSD,2015,4437,310573,0.0007246944905261947,0.028226800060788093,0.001581267916074555,0.06479776883768823,0.017033534002361413,0.4664393637573118,0.002933031347289444,0.39561432668376917,1.6359879503355305e-06,0.02264757691624082,topic_5
CZ,KDU-ČSL,2015,1802,131299,0.0013212640265467378,0.013638796553929149,0.005969413949362497,0.04055180227598318,0.0004995454370868371,0.7725884317362327,0.010676109630839769,0.06079844440208,3.6314621360655313e-06,0.0939525605258031,topic_5
CZ,KSCM,2015,2641,200087,0.001358571642896469,0.014205408933473497,0.003916784796623806,0.0018028089027865963,0.28654027204774074,0.4377001061439218,0.0009899815031595405,0.18878879145559832,0.03523288665318369,0.02946438792061548,topic_5
CZ,ODS,2015,6428,578808,0.0002387104067919107,0.6491515735983012,0.00530126831293042,0.0015121777392340186,0.0007330836244522328,0.12438345151834397,0.0003333076475523653,0.15856075583585216,0.0004286457154798284,0.059357025601062034,topic_1
CZ,TOP09,2015,5619,446854,0.00040774937915377885,0.12822201567628033,0.002438319414646996,0.0024452218793878234,0.001944739770866719,0.237544406695512,0.00045600870498354603,0.14961792026208692,1.1817066159200118e-06,0.47692243651046606,topic_9
CZ,Usvit,2015,2397,176210,0.027307443726143497,0.03270763407078979,0.01698536582523142,0.00015165923527710133,0.09796088066391417,0.06883594216113703,3.0018670864742604e-06,0.432034064358665,0.13719279812211752,0.18682120996963794,topic_7
CZ,ANO2011,2016,5197,359331,0.0010859564716949436,0.04608235334252088,0.00040301064118500486,0.42276814929162826,0.01735808141641036,0.28624859695697796,0.00027036846117411837,0.22124940032006518,1.413550844585828e-06,0.0045326695474983405,topic_3
CZ,CSSD,2016,5323,339149,1.5055159855531757e-06,0.017867814449265572,0.00016540777366344674,0.14849184052604306,0.03619219791623762,0.47696005334427527,0.008573392896732545,0.3117321513279927,1.5055239970333241e-06,1.4130725807150792e-05,topic_5
CZ,KDU-ČSL,2016,2502,174220,0.002918986513681206,0.02546689679675394,1.2428379465344779e-05,0.022857780869438786,0.00169182476627636,0.8749469943449892,0.04097906890521517,0.00561221808068917,2.7462754937827616e-06,0.025511055067997182,topic_5
CZ,KSCM,2016,3352,249464,0.000677227899768378,0.0378849784931023,0.003222847736048428,0.008097837538226507,0.3298350238303443,0.4920699815841396,0.007619453332437201,0.11922351499724616,0.00010218134750368306,0.0012669532411833822,topic_5
