speech_party,speech_label_type,n_rows,mapping_note
бДемБлок,bloc,41,Bloc label with no confident direct MPDS party match.
фВідродження05,faction,160,Faction label with no confident direct MPDS party match.
фНАПУ,faction,139,Faction label with no confident direct MPDS party match.
фНДП-ПППУ,faction,49,Faction label with no confident direct MPDS party match.
фНДП-Республіка,faction,47,Faction label with no confident direct MPDS party match.
фНДП-ТУ,faction,17,Faction label with no confident direct MPDS party match.
фНП05,faction,904,Faction label with no confident direct MPDS party match.
фПППУ,faction,240,Faction label with no confident direct MPDS party match.
фПППУ-ТУ,faction,812,Faction label with no confident direct MPDS party match.
фПРП,faction,7,Faction label with no confident direct MPDS party match.
фРегУ,faction,1508,Faction label with no confident direct MPDS party match.
фТУ,faction,356,Faction label with no confident direct MPDS party match.
фТУ-НДП,faction,68,Faction label with no confident direct MPDS party match.
фУНП,faction,60,Faction label with no confident direct MPDS party match.
гЄвВибір,group,32,Parliamentary group label with no direct MPDS party match.
гВУ,group,225,Parliamentary group label with no direct MPDS party match.
гВоляН,group,1898,Parliamentary group label with no direct MPDS party match.
гВоляН05,group,76,Parliamentary group label with no direct MPDS party match.
гВідродження15,group,175,Parliamentary group label with no direct MPDS party match.
гДемІ,group,585,Parliamentary group label with no direct MPDS party match.
гДемІ-Народовладдя,group,208,Parliamentary group label with no direct MPDS party match.
гДовіра,group,3144,Parliamentary group label with no direct MPDS party match.
гДовіраН,group,173,Parliamentary group label with no direct MPDS party match.
гЕР,group,423,Parliamentary group label with no direct MPDS party match.
гЗМ,group,543,Parliamentary group label with no direct MPDS party match.
гНБЛ,group,112,Parliamentary group label with no direct MPDS party match.
гНарВибір,group,71,Parliamentary group label with no direct MPDS party match.
гНародовладдя,group,1832,Parliamentary group label with no direct MPDS party match.
гПВідродження15,group,2700,Parliamentary group label with no direct MPDS party match.
гПЗМ,group,2994,Parliamentary group label with no direct MPDS party match.
гСЄУ,group,414,Parliamentary group label with no direct MPDS party match.
гСоюз,group,28,Parliamentary group label with no direct MPDS party match.
гЦентр,group,218,Parliamentary group label with no direct MPDS party match.
грДемУ,group,200,Parliamentary group label with no direct MPDS party match.
