speech_party,speech_label_type,n_rows,mapping_note
ЄдЦ,party,439,Party label present in UA parliamentary speeches but not mapped to an MPDS Ukraine party.
Єдність,party,515,Party label present in UA parliamentary speeches but not mapped to an MPDS Ukraine party.
Воля,party,869,Party label present in UA parliamentary speeches but not mapped to an MPDS Ukraine party.
Відродження,party,1187,Party label present in UA parliamentary speeches but not mapped to an MPDS Ukraine party.
Заступ,party,17,Party label present in UA parliamentary speeches but not mapped to an MPDS Ukraine party.
Край,party,1947,Party label present in UA parliamentary speeches but not mapped to an MPDS Ukraine party.
НП,party,1360,Party label present in UA parliamentary speeches but not mapped to an MPDS Ukraine party.
Нові,party,82,Party label present in UA parliamentary speeches but not mapped to an MPDS Ukraine party.
ПНЕРУ,party,79,Party label present in UA parliamentary speeches but not mapped to an MPDS Ukraine party.
ПС,party,10,Party label present in UA parliamentary speeches but not mapped to an MPDS Ukraine party.
Патріот,party,306,Party label present in UA parliamentary speeches but not mapped to an MPDS Ukraine party.
Позиція,party,650,Party label present in UA parliamentary speeches but not mapped to an MPDS Ukraine party.
РПУ,party,42,Party label present in UA parliamentary speeches but not mapped to an MPDS Ukraine party.
СЛ,party,23,Party label present in UA parliamentary speeches but not mapped to an MPDS Ukraine party.
СУ,party,610,Party label present in UA parliamentary speeches but not mapped to an MPDS Ukraine party.
Союз,party,6,Party label present in UA parliamentary speeches but not mapped to an MPDS Ukraine party.
Справи,party,2,Party label present in UA parliamentary speeches but not mapped to an MPDS Ukraine party.
СіЧ,party,104,Party label present in UA parliamentary speeches but not mapped to an MPDS Ukraine party.
УКРОП,party,2537,Party label present in UA parliamentary speeches but not mapped to an MPDS Ukraine party.
УМП,party,10,Party label present in UA parliamentary speeches but not mapped to an MPDS Ukraine party.
УНП,party,343,Party label present in UA parliamentary speeches but not mapped to an MPDS Ukraine party.
УП,party,27,Party label present in UA parliamentary speeches but not mapped to an MPDS Ukraine party.
УСГ,party,4376,Party label present in UA parliamentary speeches but not mapped to an MPDS Ukraine party.
